smiles,BDE,Density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,Td
Nn1nc([N+](=O)[O-])n2cnn([N+](=O)[O-])c3nnc1n3-2,268.3246237,1.863947617,8279.096224,32.13203705,6016.784934,3929.961638,664.2153399,646.711289,230.3507754
Nn1nc2c(=O)[nH]nc([N+](=O)[O-])c2c1[N+](=O)[O-],268.2427451,1.936398815,8298.973408,31.56219939,4982.988607,3391.063771,649.2971771,95.28184938,234.9317896
Nc1c([N+](=O)[O-])nc2nnc([N+](=O)[O-])n2c1N,268.0019322,1.85257215,8159.134481,30.08473764,5024.026707,3336.718929,672.3226147,290.9052102,258.5992864
O=[N+]([O-])c1nc2[nH]nc([N+](=O)[O-])n2n1,267.9465272,1.94576129,8904.689206,37.82107225,5948.25916,3880.232251,655.9328614,358.3667341,231.3414079
Nn1nnn2nc([N+](=O)[O-])c([N+](=O)[O-])c12,267.9021848,1.88163534,8948.595716,37.39996128,6515.549663,4447.814625,682.2035955,500.8945802,189.3807161
Nn1nc([N+](=O)[O-])nc1[N+](=O)[O-],267.7840676,1.851609833,8931.357003,36.20416215,6136.310495,4385.50716,707.714719,221.516523,160.0946549
NC1=C([N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=C([N+](=O)[O-])N1,267.4477171,1.864517567,8123.122468,31.5666058,5149.016912,3321.942435,616.9729929,377.2358785,173.9117246
O=[N+]([O-])c1c2[n-]o[n-]c-2c([N+](=O)[O-])[n+](=O)[n+]1=O,267.1301324,1.99522891,9379.508991,41.54448186,7184.42708,4455.905938,592.4717297,529.1474665,144.1901745
Nn1c([N+](=O)[O-])c([N+](=O)[O-])n(N)c1=NN[N+](=O)[O-],267.1284525,1.872264117,8695.746604,35.90036003,5774.509283,4278.27183,727.9469033,243.5389374,150.7889676
Nn1cc([N+](=O)[O-])[nH]c1=NN[N+](=O)[O-],266.9382485,1.829139844,8181.778345,30.74744593,5131.418937,3758.210864,737.3761815,125.4440215,187.7692925
Nc1nc([N+](=O)[O-])c2c(n1)c([N+](=O)[O-])nn2N,266.8322102,1.848783871,8018.533565,28.84662056,5109.548437,3334.458049,670.1478385,239.0727558,259.3242833
NN1C(=O)N(N)C([N+](=O)[O-])=C([N+](=O)[O-])N(N)C1=O,266.3389545,1.899394321,8185.717713,30.58148919,4185.216258,2828.139019,708.2015147,-243.5342795,220.9693413
Nc1[nH]c(=NN[N+](=O)[O-])[nH]c1[N+](=O)[O-],266.1286842,1.828876976,8084.876621,30.53932643,4613.965903,3470.279308,727.9647455,79.44414091,216.0383636
O=[N+]([O-])c1cc([N+](=O)[O-])c2nnc([N+](=O)[O-])n2n1,265.6712158,1.87610818,8532.754305,34.69045321,6309.315449,3791.047336,598.0169958,375.7452718,221.5040322
O=[N+]([O-])c1n[nH]c([N+](=O)[O-])n1,265.6017457,1.906003211,8936.652129,36.69379592,5928.659799,4054.893562,664.7760328,137.6796303,153.3116065
Nn1nc([N+](=O)[O-])c2c1nnn1c([N+](=O)[O-])c([N+](=O)[O-])nc21,265.5913953,1.876630155,8519.003646,33.24523809,6126.69651,4024.920627,623.114055,546.9994303,232.9837785
Nc1nn2c([N+](=O)[O-])c([N+](=O)[O-])nnc2c1N,265.5287309,1.86399975,8084.52048,30.36912016,5182.643697,3375.909039,667.9967028,297.5113977,251.5447299
Nc1nn2c(N)nn([N+](=O)[O-])c2c1[N+](=O)[O-],265.33456,1.866695778,8330.26709,31.33218935,5245.776813,3466.635796,689.6474044,264.9724222,259.5846566
Nn1c([N+](=O)[O-])noc1=O,265.2355717,1.834006491,8446.422829,30.95499929,5572.065246,3679.299605,677.5446439,-99.84087237,148.2005189
